ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
2E-05,14,4,13,44,230,21,216,130,8,4,59.31,6.202E-09,1.007E-08,4.16E-05,89.36,231800000,5219000,234600000,0.001869,45.28,212100000,-45.42
1.4E-05,12,4,13,44,460,11,216,119,4,2,67.13,6.717E-09,1.048E-08,4.679E-05,89.34,200300000,4767000,200600000,0.002459,45.01,174000000,-44.55
2E-05,12,4,13,22,230,11,216,119,8,4,65.93,7.627E-09,1.094E-08,4.561E-05,89.34,160100000,3426000,160500000,0.001735,46.54,131800000,-46.35
2E-05,12,8,13,22,460,6,216,119,8,4,74.83,9.865E-09,1.276E-08,5.191E-05,89.33,91530000,1929000,92650000,0.001664,47.18,68330000,-46.57
5E-06,10,2,13,22,460,6,216,106,2,1,75.76,9.469E-09,1.247E-08,5.2E-05,89.3,116900000,2443000,118200000,0.001813,46.89,88280000,-46.16
1.1E-05,14,4,26,44,460,11,216,130,4,2,69.5,6.26E-09,8.529E-09,3.754E-05,89.3,183800000,3788000,186000000,0.001959,46.8,140100000,-46.61
1.4E-05,14,4,13,44,230,21,216,130,8,4,60.81,6.926E-09,1.033E-08,3.996E-05,89.29,187000000,3881000,189000000,0.001332,46.38,164200000,-46.85
1.7E-05,14,4,13,44,230,21,216,130,8,4,60.22,6.507E-09,1.016E-08,4.08E-05,89.29,210600000,4572000,212900000,0.001601,45.81,190000000,-46.12
1.7E-05,12,4,13,22,230,11,216,119,8,4,65.64,8.105E-09,1.123E-08,4.518E-05,89.27,143700000,2972000,145600000,0.001487,47,116400000,-46.98
1.1E-05,12,4,13,22,230,11,216,119,8,4,64.82,9.637E-09,1.227E-08,4.432E-05,89.25,106300000,2038000,107500000,0.0009836,48.01,81650000,-48.38
1.4E-05,12,2,26,22,230,11,216,119,4,2,74.64,5.627E-09,8.111E-09,3.77E-05,89.2,261400000,5434000,263600000,0.00249,46.23,194500000,-45.46
1.1E-05,12,4,13,44,460,11,216,119,4,2,65.47,7.286E-09,1.076E-08,4.598E-05,89.15,172400000,3854000,174600000,0.001957,45.86,147700000,-45.73
1.7E-05,14,4,13,22,115,21,216,130,16,8,62.23,8.389E-09,1.116E-08,3.82E-05,89.08,132100000,2462000,133300000,0.0008093,47.87,104500000,-48.54
8E-06,12,4,13,44,460,11,216,119,4,2,64.18,8.189E-09,1.128E-08,4.512E-05,89.07,139900000,2934000,141800000,0.001448,46.79,117000000,-47.01
5E-06,12,4,13,44,460,11,216,119,4,2,63.2,9.868E-09,1.245E-08,4.422E-05,89.06,101000000,1959000,101300000,0.000929,47.85,81210000,-48.49
8E-06,14,4,13,88,460,21,216,130,4,2,60.05,6.57E-09,1.019E-08,4.065E-05,89.03,205100000,4488000,206500000,0.001559,45.62,188600000,-46.15
2E-05,14,4,13,22,115,21,216,130,16,8,61.92,7.885E-09,1.085E-08,3.866E-05,89.03,147400000,2828000,149100000,0.0009447,47.54,119500000,-48.1
5E-06,14,4,13,88,460,21,216,130,4,2,60.22,7.707E-09,1.074E-08,3.886E-05,89.02,152200000,3043000,153400000,0.001,46.86,134700000,-47.77
1.4E-05,10,4,13,22,460,6,216,106,4,2,71.3,8.482E-09,1.179E-08,5.229E-05,88.99,140200000,3162000,142100000,0.002363,46.02,107500000,-44.86
5E-06,12,2,13,22,115,21,216,119,8,4,62.54,1.016E-08,1.242E-08,3.713E-05,88.92,112800000,1919000,114300000,0.0005111,48.66,83220000,-49.61
1.4E-05,10,2,13,22,230,11,216,106,4,2,65.42,6.682E-09,1.047E-08,4.686E-05,88.89,245500000,5609000,246600000,0.002487,45.21,207000000,-44.51
1.1E-05,12,2,26,22,230,11,216,119,4,2,71.68,6.211E-09,8.495E-09,3.754E-05,88.84,220200000,4364000,223200000,0.001983,47.03,163100000,-46.59
8E-06,12,2,26,44,460,11,216,119,2,1,74.96,5.257E-09,7.886E-09,3.785E-05,88.81,290200000,6366000,293900000,0.002934,45.3,220000000,-44.44
1.4E-05,14,2,13,22,460,11,432,260,4,2,65.51,6.69E-09,1.047E-08,4.686E-05,88.72,157100000,3723000,157400000,0.004771,45.21,134600000,-44.5
1.7E-05,14,8,26,44,460,11,216,130,8,4,66.9,7.122E-09,9.148E-09,3.742E-05,88.7,147100000,2913000,148800000,0.001484,47.6,110000000,-47.76
5E-06,10,2,13,22,230,11,216,106,4,2,64.76,9.78E-09,1.238E-08,4.426E-05,88.66,124000000,2322000,124400000,0.0009451,48.08,95420000,-48.47
2E-05,12,8,13,44,460,11,216,119,8,4,64.82,7.652E-09,1.096E-08,4.558E-05,88.62,156600000,3454000,157000000,0.001731,46.28,133500000,-46.32
5E-06,12,2,26,44,460,11,216,119,2,1,69.09,6.353E-09,8.594E-09,3.752E-05,88.58,209900000,4164000,212000000,0.001889,46.9,159600000,-46.76
1.7E-05,14,4,13,22,460,6,216,130,4,2,66.13,7.877E-09,1.14E-08,5.256E-05,88.58,117300000,2853000,118600000,0.002841,45.28,89450000,-43.77
1.4E-05,12,2,13,44,230,21,216,119,4,2,53.62,5.628E-09,1.002E-08,4.385E-05,88.56,341900000,8158000,346300000,0.002677,43.78,307800000,-43.37
1.7E-05,12,8,13,44,460,11,216,119,8,4,64.21,8.134E-09,1.125E-08,4.516E-05,88.56,140500000,2995000,142400000,0.001482,46.74,117800000,-46.95
8E-06,10,2,26,22,460,6,216,106,2,1,62.69,6.934E-09,9.313E-09,4.373E-05,88.52,192300000,4200000,193600000,0.002818,46.06,130100000,-44.33
1.4E-05,12,8,13,44,460,11,216,119,8,4,63.72,8.774E-09,1.166E-08,4.473E-05,88.52,123000000,2522000,123600000,0.001232,47.23,101200000,-47.62
